	tags
欧浦家具网	家具
林氏木业	家具
曲美家居	家具
红星美凯龙	家具
HAY	家具
H&M	服装首饰
爱生雅	日化
宝洁	日化
高露洁	日化
高露洁棕榄	日化
汉高	日化
恒安国际	日化
花王	日化
立白	日化
利洁时	日化
联合利华	日化
欧莱雅	日化
维达	日化
雅诗兰黛	日化
百事	饮料
可口可乐	饮料
蒙牛	饮料
蒙牛股份	饮料
新希望	饮料
伊利	饮料
伊利股份	饮料
安徽中烟工业	烟草
奥驰亚	烟草
川渝中烟工业	烟草
帝国烟草	烟草
菲莫国际	烟草
红塔烟草	烟草
红云红河烟草	烟草
湖北中烟工业	烟草
湖南中烟工业	烟草
雷诺兹美国	烟草
日本烟草	烟草
上海烟草集团	烟草
上烟	烟草
英美烟草	烟草
浙江中烟工业	烟草
中烟	烟草
百威英博	酒
宾堡	酒
朝日	酒
帝亚吉欧	酒
贵州茅台	酒
华润啤酒	酒
嘉士伯	酒
金佰利	酒
路威酩轩	酒
南非米勒	酒
麒麟	酒
青岛啤酒	酒
五粮液	酒
喜力	酒
洋河股份	酒
北京移动	运营商
广东电信	运营商
广东联通	运营商
广东移动	运营商
上海电信	运营商
上海联通	运营商
上海移动	运营商
深圳电信	运营商
深圳联通	运营商
深圳移动	运营商
中国电信	运营商
中国联通	运营商
中国移动	运营商
爱立信	设备制造
高通	设备制造
华三	设备制造
中兴	设备制造
IBM	设备制造
上海贝尔阿尔卡特朗讯	设备制造
华为	终端制造
魅族	终端制造
摩托罗拉	终端制造
三星	终端制造
小米	终端制造
Motorola	终端制造
oppo	终端制造
vivo	终端制造
HTC	终端制造
宝利通	视频通信
飞视美	视频通信
海康威视	视频通信
好视通	视频通信
华望	视频通信
科达	视频通信
全时	视频通信
瑞视恒通	视频通信
声网	视频通信
思科系统	视频通信
小鱼易联	视频通信
亿联网络	视频通信
云之讯	视频通信
浙江大华	视频通信
Accano	视频通信
Agora	视频通信
Cisco	视频通信
facemeeting	视频通信
kedacom	视频通信
Polycom	视频通信
Vidyo	视频通信
zoom	视频通信
中国航天科技	军用航天
阿里巴巴	互联网
滴滴	互联网
饿了么	互联网
美团	互联网
摩拜	互联网
携程	电子商务
去哪儿网	电子商务
携程	旅游
去哪儿网	旅游
